_id,uuid,provider_id,_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302c2c136,XTBG848DZ,undefined,5885864dbebc58b0fe92b09302c2750d,XTBG848DZ,15,UCNE
5885864dbebc58b0fe92b09302c15fd8,TFVKJW5ND,undefined,5885864dbebc58b0fe92b09302c04fc5,TFVKJW5ND,15,UCNE
5885864dbebc58b0fe92b09302c2516a,5NB9E2T1D,undefined,5885864dbebc58b0fe92b09302c1b9fd,5NB9E2T1D,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bc0b9a,4TNHRV17K,undefined,5885864dbebc58b0fe92b09302bbec3c,4TNHRV17K,15,UCNE
5885864dbebc58b0fe92b09302c25b0d,CJDAYZ7PT,undefined,5885864dbebc58b0fe92b09302c19012,CJDAYZ7PT,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c1c799,XCHTGHFY2,undefined,5885864dbebc58b0fe92b09302c16385,XCHTGHFY2,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c171d5,EVT3145J3,undefined,5885864dbebc58b0fe92b09302c16231,EVT3145J3,15,UCNE
5885864dbebc58b0fe92b09302bb9dc0,3KYNT9T83,undefined,5885864dbebc58b0fe92b09302bb3f06,3KYNT9T83,15,UCNE
5885864dbebc58b0fe92b09302c154d7,VHEJEATM1,undefined,5885864dbebc58b0fe92b09302c08eaf,VHEJEATM1,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bfaa90,5VFSCRT9F,undefined,5885864dbebc58b0fe92b09302bea45e,5VFSCRT9F,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bae0cf,F6ED7XPF1,undefined,5885864dbebc58b0fe92b09302bab9d9,F6ED7XPF1,15,UCNE
5885864dbebc58b0fe92b09302c073a2,B7ZG5M1KW,undefined,5885864dbebc58b0fe92b09302bfe717,B7ZG5M1KW,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302bf56fc,GQQ1ESMER,undefined,5885864dbebc58b0fe92b09302bf0d5a,GQQ1ESMER,15,UCNE
5885864dbebc58b0fe92b09302c03a44,7VT4GC2VW,undefined,5885864dbebc58b0fe92b09302bff417,7VT4GC2VW,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302ba835a,2DDHAKRZV,undefined,5885864dbebc58b0fe92b09302ba36bc,2DDHAKRZV,15,UCNE
5885864dbebc58b0fe92b09302bf8d96,347E56A92,undefined,5885864dbebc58b0fe92b09302bf407c,347E56A92,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bf0f41,1RS2HNRBW,undefined,5885864dbebc58b0fe92b09302bf0126,1RS2HNRBW,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302be19c2,5W3VYBF9~,undefined,5885864dbebc58b0fe92b09302be0e7c,5W3VYBF9~,15,UCNE
5885864dbebc58b0fe92b09302befe37,ZSZJDXW57,undefined,5885864dbebc58b0fe92b09302bed19d,ZSZJDXW57,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bed314,B9FCNDCAQ,undefined,5885864dbebc58b0fe92b09302beb0af,B9FCNDCAQ,15,UCNE
5885864dbebc58b0fe92b09302be9877,7M6PS9DS=,undefined,5885864dbebc58b0fe92b09302be3f01,7M6PS9DS=,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302be824f,Z9Q6MNR0W,undefined,5885864dbebc58b0fe92b09302be2436,Z9Q6MNR0W,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302be2dc9,QM5SYHKAP,undefined,5885864dbebc58b0fe92b09302be1244,QM5SYHKAP,15,UCNE
5885864dbebc58b0fe92b09302bc5d21,5YGGHV43W,undefined,5885864dbebc58b0fe92b09302bc1a33,5YGGHV43W,15,UCNE
5885864dbebc58b0fe92b09302be0ebe,AV629X4A4,undefined,5885864dbebc58b0fe92b09302bcf311,AV629X4A4,15,UCNE
5885864dbebc58b0fe92b09302bccdc4,5E1BT9E7Q,undefined,5885864dbebc58b0fe92b09302bc7b36,5E1BT9E7Q,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bded49,CQN8FCJBZ,undefined,5885864dbebc58b0fe92b09302bc8508,CQN8FCJBZ,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302bdf192,SEE6DZ777,undefined,5885864dbebc58b0fe92b09302bc8758,SEE6DZ777,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bc770f,HX3GQ663*,undefined,5885864dbebc58b0fe92b09302bc305f,HX3GQ663*,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302bc1931,W3JRHAZS8,undefined,5885864dbebc58b0fe92b09302bc0000,W3JRHAZS8,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bbaafd,EBR3Q0TVQ,undefined,5885864dbebc58b0fe92b09302bb3b0b,EBR3Q0TVQ,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bb5001,XR3J9PVE~,undefined,5885864dbebc58b0fe92b09302baedc5,XR3J9PVE~,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302bbeb02,RH92AGX6B,undefined,5885864dbebc58b0fe92b09302bbabef,RH92AGX6B,15,UCNE
5885864dbebc58b0fe92b09302bb3ea2,N8SPYNN7J,undefined,5885864dbebc58b0fe92b09302bb08d7,N8SPYNN7J,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302bb02dc,Z03X9QBCE,undefined,5885864dbebc58b0fe92b09302bac1e8,Z03X9QBCE,15,UCNE
