_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302a9ab20,1WBX956KC,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a8c4ae,91S91092$,15,UCNE
5885864dbebc58b0fe92b09302a26f67,PSGJ7D5HD,15,UCNE
5885864dbebc58b0fe92b09302a7730f,G8NZMTNKA,15,UCNE
5885864dbebc58b0fe92b09302a86136,XKJ07QPBJ,15,UCNE
5885864dbebc58b0fe92b09302a8b075,WZJDX785V,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a74380,4HYYAGNP*,15,UCNE
5885864dbebc58b0fe92b09302a76b7c,VK9X2AKYJ,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302a75ebc,ZEG3JANWA,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302a165da,V1PBGN1NG,15,UCNE
5885864dbebc58b0fe92b09302a4df39,4NMFQ2XY1,15,UCNE
5885864dbebc58b0fe92b09302a674ad,AWJ6GSX7R,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302a07aa4,FMK4R5V05,15,UCNE
5885864dbebc58b0fe92b09302a360ba,8RPTB6EET,15,UCNE
5885864dbebc58b0fe92b09302a4c5db,XW5GZ28B1,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b093029f8735,FGY3WJVHV,15,UCNE
5885864dbebc58b0fe92b093029eec1e,SQYX6WZT$,15,UCNE
5885864dbebc58b0fe92b09302a375eb,D61N8C9P7,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302a242fb,YQD17BXEF,15,UCNE
5885864dbebc58b0fe92b09302a2da8a,WH0XSQANP,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302a1ae36,GE0NF7FTZ,15,UCNE
5885864dbebc58b0fe92b093029f6d65,2NERB85ZR,15,UCNE
